Nw,Ww,Nb,Wb,Nk,Wk
8,10.09,18,15.3,16,14.41
9,#N/A,16,13.12,16,#N/A
11,8.22,18,14.46,17,14.93
13,9.25,19,15.87,16,13.58
8,7.73,20,16.25,13,13.55
9,8.67,14,12.96,20,15.7
7,#N/A,19,#N/A,17,#N/A
5,6.34,21,16.3,16,14.43
11,11.04,25,18.09,16,12.95
"!from here is with plastic, Wp = 3.03+-0.05",,,,,
5,6.15,21,17.31,16,15.45
7,8.31,19,17.51,12,10.72
15,10.28,21,15.79,14,12.59
15,10.74,10,9.48,16,15.83
5,6.95,17,17.36,11,11.91
8,10.06,14,13.68,14,14.1
4,6.4,21,18.24,12,13.42
9,12.4,9,10.63,10,11.3
11,11.04,14,13.24,17,14.23
10,11.6,15,15.13,13,13.8
9,9.31,24,16.67,23,17.49
7,7.82,19,16.7,16,14.5
9,9.18,23,18.34,16,14.27
10,9.54,17,12.59,19,17.05
12,10.03,26,18,13,12.36
7,7.89,15,14.62,22,18.9
11,11.11,20,16.24,13,12.69
9,9.79,9,10.54,17,15
4,6,29,19,22,16
18,15.3,12,10.62,18,14.76
11,10.86,15,15.73,8,10.73
6,8.63,12,12.54,8,11.44
7,8.27,10,11.56,14,16.98
17,14.25,16,14.55,14,13.01
9,8.98,16,13.58,20,17.21
14,11.18,20,17.14,15,12.42
11,9.55,20,16.06,15,11.62
11,11.01,14,12.32,18,14.52
10,10.71,11,10.22,20,16.5
#N/A,8.71,#N/A,15.34,#N/A,15.53
#N/A,8.39,#N/A,14.92,#N/A,12.97
#N/A,10.23,#N/A,15.65,#N/A,12.81
#N/A,14.53,#N/A,11.25,#N/A,14.32
#N/A,8.43,#N/A,11.83,#N/A,16.68
#N/A,9.43,#N/A,18.03,#N/A,12.44
#N/A,5.22,#N/A,15.4,#N/A,15.49
#N/A,9.38,#N/A,11.75,#N/A,15.65
#N/A,9.45,#N/A,13.76,#N/A,15.8
#N/A,9.62,#N/A,13.82,#N/A,14.57
#N/A,9.35,#N/A,13.6,#N/A,13.22
#N/A,7.86,#N/A,17.28,#N/A,11.97
#N/A,7.31,#N/A,17.12,#N/A,13.4
#N/A,14.19,#N/A,9.95,#N/A,12.84
#N/A,10.43,#N/A,14.57,#N/A,12.83
#N/A,7.51,#N/A,15.88,#N/A,16.19
#N/A,9.01,#N/A,19.61,#N/A,11.61
#N/A,8.17,#N/A,12.33,#N/A,17.15
#N/A,7.18,#N/A,14.48,#N/A,13.12
#N/A,9.81,#N/A,15.05,#N/A,15.93
#N/A,6.72,#N/A,15.27,#N/A,15.55
#N/A,7.56,#N/A,15.09,#N/A,13.99
#N/A,8.26,#N/A,17.1,#N/A,13.4
#N/A,6.35,#N/A,17.41,#N/A,----
#N/A,9.93,#N/A,14.21,#N/A,15.79
#N/A,9.16,#N/A,17.8,#N/A,16.1
#N/A,10.53,#N/A,14.64,#N/A,16.84
#N/A,13.59,#N/A,13.3,#N/A,15.58
#N/A,8.46,#N/A,12.32,#N/A,18.87
#N/A,8.82,#N/A,15.84,#N/A,12.96
#N/A,11.12,#N/A,15.12,#N/A,11.46
#N/A,8.02,#N/A,13.44,#N/A,18.58
#N/A,9.69,#N/A,15.48,#N/A,11.42
#N/A,7.9,#N/A,14.62,#N/A,15.21
#N/A,7.52,#N/A,17.65,#N/A,14.84
#N/A,10.71,#N/A,10.26,#N/A,15.61
#N/A,13.36,#N/A,12.72,#N/A,11.61
#N/A,9.28,#N/A,17.38,#N/A,13.76
#N/A,7.89,#N/A,19.31,#N/A,11.9
#N/A,9.8,#N/A,9.76,#N/A,16.76
#N/A,10.06,#N/A,17.13,#N/A,11.9
#N/A,10.02,#N/A,18.65,#N/A,11.1
#N/A,6.62,#N/A,14.3,#N/A,17.34
#N/A,9.39,#N/A,18.54,#N/A,11.04
#N/A,8.95,#N/A,17.82,#N/A,7.96
#N/A,10.27,#N/A,11.75,#N/A,11.58
#N/A,7.83,#N/A,14.26,#N/A,16.8
#N/A,10.07,#N/A,14.52,#N/A,15.75
#N/A,6.19,#N/A,17.14,#N/A,14.46
#N/A,13.33,#N/A,12.03,#N/A,10.58
#N/A,12.92,#N/A,16.44,#N/A,7.95
#N/A,4.36,#N/A,16.55,#N/A,18.77
#N/A,8.5,#N/A,10.59,#N/A,16.57
#N/A,9.73,#N/A,13.8,#N/A,11.55
#N/A,7.91,#N/A,19.96,#N/A,13.25
#N/A,8.05,#N/A,17.9,#N/A,14
#N/A,7.92,#N/A,15.5,#N/A,10.95
#N/A,8.8,#N/A,18.04,#N/A,10.1
#N/A,9.79,#N/A,16.24,#N/A,12.06
#N/A,9.68,#N/A,15.25,#N/A,15.76
#N/A,7.89,#N/A,8.37,#N/A,17
#N/A,9.14,#N/A,15.02,#N/A,15.58
#N/A,12.69,#N/A,12.13,#N/A,12.08
#N/A,11.45,#N/A,12.11,#N/A,13.95
#N/A,6.97,#N/A,15.02,#N/A,15.48
